pseudotime_bin,pseudotime_center,program,mean_score,sem,n_cells
22,0.45119616,AT2_identity,0.573813488516206,0.057265963915887175,106
22,0.45119616,AT1_identity,0.11457983034383504,0.026838197194489564,106
22,0.45119616,interferon_response,0.030889097040327683,0.01703091915184867,106
22,0.45119616,nfkb_inflammatory,0.0929231705185673,0.015907761030188643,106
22,0.45119616,oxidative_stress,0.0635356525003959,0.02017641272753337,106
22,0.45119616,AT2_to_AT1_differentiation,0.17551766410816294,0.031102140091398965,106
22,0.45119616,apoptosis,-0.004845607600803522,0.010268020908320677,106
22,0.45119616,senescence,0.009554090072671538,0.013050599220661404,106
23,0.47114256,AT2_identity,0.7851821714525704,0.08056997315853143,86
23,0.47114256,AT1_identity,0.07555844711600809,0.026549513146933143,86
23,0.47114256,interferon_response,0.07249667604925442,0.022924845699513096,86
23,0.47114256,nfkb_inflammatory,0.07309292664108717,0.019962275773510632,86
23,0.47114256,oxidative_stress,0.12717291730211536,0.028150625172028727,86
23,0.47114256,AT2_to_AT1_differentiation,0.23081096386200145,0.040007190017679155,86
23,0.47114256,apoptosis,0.022674284360486924,0.012775680752719789,86
23,0.47114256,senescence,0.006401837290619954,0.015996450525177737,86
24,0.49040797,AT2_identity,0.5138272698842953,0.09428930938829387,65
24,0.49040797,AT1_identity,0.040322682078298,0.029877214401633937,65
24,0.49040797,interferon_response,0.03182313523238442,0.018662475052653376,65
24,0.49040797,nfkb_inflammatory,0.08337792870035506,0.023261882082221366,65
24,0.49040797,oxidative_stress,0.10713990581129652,0.02650489335135132,65
24,0.49040797,AT2_to_AT1_differentiation,0.10472835475395693,0.04403485814189567,65
24,0.49040797,apoptosis,0.00586839735982274,0.014549340733716923,65
24,0.49040797,senescence,0.02003150628179589,0.02162056392787466,65
25,0.5097092,AT2_identity,0.6632249975577448,0.09455445542832051,60
25,0.5097092,AT1_identity,0.12401101321248516,0.04007167426739568,60
25,0.5097092,interferon_response,0.01697100506470608,0.01709517739251968,60
25,0.5097092,nfkb_inflammatory,0.10639069102224735,0.031308422157176996,60
25,0.5097092,oxidative_stress,0.14725194205625064,0.03337118632216965,60
25,0.5097092,AT2_to_AT1_differentiation,0.2198446103690238,0.047510621488125356,60
