,pseudotime_bin,pseudotime_center,program,mean_score,sem,n_cells
167,37,0.74445164,senescence,-0.07565339535186905,0.0,1
168,38,0.7702098,AT2_identity,-0.4718694937676468,0.09690476103991909,3
169,38,0.7702098,AT1_identity,0.07389235537787117,0.2162367455271038,3
170,38,0.7702098,interferon_response,-0.08197750103220315,0.010671490982831499,3
171,38,0.7702098,nfkb_inflammatory,-0.002039368880392134,0.11459937255893185,3
172,38,0.7702098,oxidative_stress,0.041651086569010065,0.07615459522421804,3
173,38,0.7702098,AT2_to_AT1_differentiation,0.18972129072237776,0.19163887572118968,3
174,38,0.7702098,apoptosis,0.012467293811600623,0.053409633073173826,3
175,38,0.7702098,senescence,0.09296179865857135,0.10661061569772198,3
176,39,0.78734535,AT2_identity,-0.4917640338442905,0.12628798160491772,3
177,39,0.78734535,AT1_identity,0.02302212899560262,0.11404937336059434,3
178,39,0.78734535,interferon_response,-0.08857959326914766,0.02892205892754291,3
179,39,0.78734535,nfkb_inflammatory,0.045175519639148454,0.12669789291290215,3
180,39,0.78734535,oxidative_stress,0.0016746398834929417,0.07806693901334107,3
181,39,0.78734535,AT2_to_AT1_differentiation,-0.14396452929194523,0.16226189992197745,3
182,39,0.78734535,apoptosis,0.07793291803594445,0.07761653901856733,3
183,39,0.78734535,senescence,-0.042757116591215116,0.03794044153958049,3
184,40,0.81264704,AT2_identity,-0.4907945945598698,0.07878242860586844,4
185,40,0.81264704,AT1_identity,-0.059644889521634145,0.11596786447030961,4
186,40,0.81264704,interferon_response,0.041904127052870443,0.0947678067035865,4
187,40,0.81264704,nfkb_inflammatory,-0.09357941969062936,0.026420065988433078,4
188,40,0.81264704,oxidative_stress,-0.11028328578821014,0.06368632005355694,4
189,40,0.81264704,AT2_to_AT1_differentiation,0.27176768591025624,0.13943863239716428,4
190,40,0.81264704,apoptosis,-0.014297787816814976,0.03258969697282992,4
191,40,0.81264704,senescence,0.09594052033582894,0.14288132371587156,4
192,41,0.8317682,AT2_identity,-0.3890271159751189,0.030323543784598558,4
193,41,0.8317682,AT1_identity,-0.017174191874010702,0.09807316130064299,4
194,41,0.8317682,interferon_response,0.19800392039593454,0.13262740289382458,4
195,41,0.8317682,nfkb_inflammatory,-0.08289712254652279,0.006267026039981635,4
196,41,0.8317682,oxidative_stress,-0.0493753248182873,0.0573628347439495,4
197,41,0.8317682,AT2_to_AT1_differentiation,0.06561157671843561,0.14632976572338177,4
198,41,0.8317682,apoptosis,0.11650838585580381,0.09983902955644612,4
199,41,0.8317682,senescence,-0.014667534622343527,0.08767297205871183,4
200,42,0.85084057,AT2_identity,-0.3439315084703696,0.023012296852044284,2
201,42,0.85084057,AT1_identity,0.11173009741875996,0.024162609601683493,2
202,42,0.85084057,interferon_response,-0.01595499184072624,0.11492079135001743,2
203,42,0.85084057,nfkb_inflammatory,-0.12762815625799168,0.0006176488451176271,2
204,42,0.85084057,oxidative_stress,0.004536464948474997,0.12979418080945368,2
205,42,0.85084057,AT2_to_AT1_differentiation,0.3973639974524842,0.017723914212607245,2
206,42,0.85084057,apoptosis,0.03720128296887739,0.08143062710901494,2
207,42,0.85084057,senescence,-0.07983280658327543,0.009924486977597914,2
208,43,0.8659618,AT2_identity,-0.454527949246458,0.004226387868270888,3
209,43,0.8659618,AT1_identity,-0.04623354467104748,0.04934420161256121,3
210,43,0.8659618,interferon_response,0.3287077122260854,0.10525279167396455,3
211,43,0.8659618,nfkb_inflammatory,-0.12518750894178785,0.014717267807116156,3
212,43,0.8659618,oxidative_stress,-0.16852268203340326,0.04062229299575618,3
213,43,0.8659618,AT2_to_AT1_differentiation,-0.028877663569642848,0.08308224401373372,3
214,43,0.8659618,apoptosis,-0.05166068754066886,0.00614610358459306,3
215,43,0.8659618,senescence,0.1923305707903282,0.15182871685708277,3
216,44,0.8830418,AT2_identity,-0.5804406082904502,0.023931083145494296,3
217,44,0.8830418,AT1_identity,-0.1453424834676787,0.13059238412987995,3
218,44,0.8830418,interferon_response,-0.09202473530302265,0.03493909716863288,3
219,44,0.8830418,nfkb_inflammatory,-0.10493756729903032,0.038521667813880736,3
220,44,0.8830418,oxidative_stress,-0.04258175452097824,0.09032219553046658,3
221,44,0.8830418,AT2_to_AT1_differentiation,-0.008475716421805344,0.18821107544743765,3
222,44,0.8830418,apoptosis,0.06347830857110681,0.08542819886844061,3
223,44,0.8830418,senescence,0.11101688242938317,0.17063940048657378,3
224,45,0.911002,AT2_identity,-0.46707589427565105,0.039630541282126036,3
225,45,0.911002,AT1_identity,-0.15496019579760542,0.045091473880087475,3
226,45,0.911002,interferon_response,0.210976708696251,0.08901438697444453,3
227,45,0.911002,nfkb_inflammatory,-0.1289429712568163,0.015425573307187024,3
228,45,0.911002,oxidative_stress,-0.1722866313121947,0.015379699024917447,3
229,45,0.911002,AT2_to_AT1_differentiation,0.10596293221240725,0.2045026817106102,3
230,45,0.911002,apoptosis,0.06766926497167713,0.1228196451067221,3
231,45,0.911002,senescence,0.030848387038063137,0.061322050361837896,3
232,46,0.9352474,AT2_identity,-0.7476384622712976,0.08667435274597177,3
233,46,0.9352474,AT1_identity,-0.2038089940696383,0.11130372412631619,3
234,46,0.9352474,interferon_response,0.022593990278723646,0.0960287647841604,3
235,46,0.9352474,nfkb_inflammatory,0.08152644312680264,0.06570187534009048,3
236,46,0.9352474,oxidative_stress,-0.07923199784094644,0.03050750338948909,3
237,46,0.9352474,AT2_to_AT1_differentiation,-0.016042138356513413,0.2022345597791666,3
238,46,0.9352474,apoptosis,-0.03602828918582011,0.05426467966589409,3
239,46,0.9352474,senescence,0.23776334927715645,0.1128383355470142,3
240,47,0.95068157,AT2_identity,-0.6355236143391759,0.0297476821577034,2
241,47,0.95068157,AT1_identity,-0.07970906070048499,0.002797003363345082,2
242,47,0.95068157,interferon_response,0.02648931972290708,0.1607016901877789,2
243,47,0.95068157,nfkb_inflammatory,-0.05368955285969915,0.0994387232051079,2
244,47,0.95068157,oxidative_stress,-0.19922096174529907,0.03559775645894061,2
245,47,0.95068157,AT2_to_AT1_differentiation,-0.07169917064364756,0.3156508271308135,2
246,47,0.95068157,apoptosis,0.1458552174147733,0.07231821107541433,2
247,47,0.95068157,senescence,0.07732881676361128,0.028588141459390395,2
248,48,0.9738086,AT2_identity,-0.5359934113782959,0.025976008243721288,3
249,48,0.9738086,AT1_identity,-0.22724690203224154,0.04802437294453898,3
250,48,0.9738086,interferon_response,0.12878806834759413,0.19490486025908327,3
251,48,0.9738086,nfkb_inflammatory,-0.15313299811444173,0.01161801357641035,3
252,48,0.9738086,oxidative_stress,-0.11466045749432718,0.09401907198988758,3
253,48,0.9738086,AT2_to_AT1_differentiation,0.20111661782570847,0.067584436684439,3
254,48,0.9738086,apoptosis,0.11370472119478829,0.0913510360067333,3
255,48,0.9738086,senescence,0.13872827056397904,0.06354110276005956,3
256,49,0.99914277,AT2_identity,-0.7170997729878429,0.021201675903875006,2
257,49,0.99914277,AT1_identity,-0.031717643073973706,0.01577059646051862,2
258,49,0.99914277,interferon_response,-0.11236254503144465,0.07306506596737473,2
259,49,0.99914277,nfkb_inflammatory,-0.0025312189641218813,0.03726109800170459,2
260,49,0.99914277,oxidative_stress,-0.08641497410049157,0.04847278936938564,2
261,49,0.99914277,AT2_to_AT1_differentiation,0.310749925250174,0.22854393913181606,2
262,49,0.99914277,apoptosis,0.15293314596612392,0.11912320876671313,2
263,49,0.99914277,senescence,0.12201426099127781,0.09155502516471682,2
